    n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 5252,       6805870,         6800630,           9924,    101154,       18861,        490,   13789126,      6800630,       30197,   113886,      60382,       547
 5253,       6806014,         6800773,          10967,    108604,       18658,        532,   13794378,      6800773,       35228,   113957,      60444,       496
 5254,       6811179,         6805937,          12891,     99102,       19050,        520,   13799631,      6805937,       35564,   113984,      60436,       527
 5255,       6812472,         6807229,          12640,     96058,       19131,        524,   13804885,      6807229,       33364,   113970,      60428,       515
 5256,       6814726,         6809482,          11148,     97106,       19157,        541,   13810140,      6809482,       33863,   114025,      60423,       543
 5257,       6819578,         6814333,          11110,    105638,       18792,        537,   13815396,      6814333,       32306,   113978,      60421,       568
 5258,       6823257,         6818011,           9945,    100854,       18839,        776,   13820653,      6818011,       32567,   114052,      60489,       588
 5259,       6826054,         6820807,          10980,    109312,       18689,        651,   13825911,      6820807,       33314,   114084,      60484,       607
 5260,       6826363,         6821115,          10158,    104489,       18937,        673,   13831170,      6821115,       28622,   114095,      60484,       560
 5261,       6829004,         6823755,           8896,     99161,       19051,        511,   13836430,      6823755,       26548,   114128,      60499,       637
 5262,       6832039,         6826789,           8938,     97732,       19076,        461,   13841691,      6826789,       27534,   114134,      60548,       452
 5263,       6836014,         6830763,           8904,     98858,       19027,        535,   13846953,      6830763,       27747,   114192,      60540,       442
 5264,       6839922,         6834670,           8934,     98342,       19164,        467,   13852216,      6834670,       27880,   114198,      60515,       515
 5265,       6842474,         6837221,           8894,     99752,       19153,        503,   13857480,      6837221,       28208,   114173,      60531,       563
 5266,       6843006,         6837752,           9549,    102955,       18741,        585,   13862745,      6837752,       29878,   114229,      60578,       441
 5267,       6846267,         6841012,           9247,     99774,       19014,        473,   13868011,      6841012,       28281,   114303,      60600,       573
 5268,       6850226,         6844970,           9118,    106703,       18869,        489,   13873278,      6844970,       27713,   114297,      60597,       471
 5269,       6854282,         6849025,           9252,    101701,       19011,        527,   13878546,      6849025,       27595,   114351,      60653,       453
 5270,       6857869,         6852611,           9372,    105227,       18839,        473,   13883815,      6852611,       31540,   114375,      60633,       491
 5271,       6858798,         6853539,           9084,     99825,       18942,        595,   13889085,      6853539,       29334,   114355,      60669,       496
 5272,       6859659,         6854399,           9312,    108347,       18925,        473,   13894356,      6854399,       28566,   114361,      60654,       497
 5273,       6862214,         6856953,           9270,    100404,       19045,        509,   13899628,      6856953,       29691,   114521,      60695,       489
 5274,       6864194,         6858932,           9722,    102750,       18927,        488,   13904901,      6858932,       28203,   114433,      60683,       457
 5275,       6865357,         6860094,           9043,     99481,       19058,        461,   13910175,      6860094,       28226,   114493,      60697,       457
 5276,       6867669,         6862405,           8951,    102279,       18948,        466,   13915450,      6862405,       27462,   114510,      60726,       506
 5277,       6872826,         6867561,           8933,    101018,       18920,        467,   13920726,      6867561,       27583,   114546,      60774,       465
 5278,       6873268,         6868002,           9252,    104139,       18936,        468,   13926003,      6868002,       31186,   114509,      60723,       596
 5279,       6873398,         6868131,          11497,    100041,       19106,        604,   13931281,      6868131,       35081,   114549,      60737,       570
 5280,       6874727,         6869459,          11331,    102918,       19037,        558,   13936560,      6869459,       40337,   114572,      60747,       533
 5281,       6878612,         6873343,          13672,    102741,       19135,        713,   13941840,      6873343,       42342,   114606,      60770,       679
 5282,       6882556,         6877286,          14262,    103234,       18981,        832,   13947121,      6877286,       42155,   114700,      60866,       548
 5283,       6883103,         6877832,          11762,    101744,       19033,        558,   13952403,      6877832,       33576,   114672,      60794,       498
 5284,       6884171,         6878899,          11291,    104144,       18846,        681,   13957686,      6878899,       33320,   114696,      60828,       512
 5285,       6885695,         6880422,          10200,     97277,       19230,        565,   13962970,      6880422,       29186,   114746,      60838,       536
