     n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
   436,         47231,           46804,             97,      5504,        1194,         47,      94830,        46804,         253,     6344,       3469,        39
   437,         47526,           47098,             82,      5452,        1233,         35,      95266,        47098,         204,     6347,       3479,        32
   438,         47945,           47516,             67,      5732,        1199,         34,      95703,        47516,         209,     6365,       3485,        32
   439,         48245,           47815,             80,      5475,        1218,         35,      96141,        47815,         232,     6393,       3494,        36
   440,         48589,           48158,             82,      5810,        1204,         42,      96580,        48158,         275,     6409,       3507,        40
   441,         48634,           48202,             87,      5348,        1232,         39,      97020,        48202,         250,     6430,       3521,        42
   442,         48826,           48393,             90,      5724,        1216,         40,      97461,        48393,         195,     6438,       3516,        36
   443,         48959,           48525,             66,      5964,        1242,         35,      97903,        48525,         256,     6468,       3534,        41
   444,         49092,           48657,             92,      5372,        1237,         47,      98346,        48657,         258,     6483,       3550,        38
   445,         49272,           48836,             94,      5659,        1228,         48,      98790,        48836,         267,     6505,       3551,        42
   446,         49426,           48989,             95,      5803,        1222,         64,      99235,        48989,         196,     6514,       3562,        33
   447,         49513,           49075,             67,      5452,        1250,         35,      99681,        49075,         202,     6527,       3582,        32
   448,         49561,           49122,             67,      5874,        1220,         40,     100128,        49122,         215,     6544,       3577,        51
   449,         49672,           49232,             81,      5441,        1251,         35,     100576,        49232,         237,     6565,       3603,        43
   450,         49914,           49473,            104,      5948,        1252,         49,     101025,        49473,         269,     6590,       3610,        44
   451,         50270,           49828,             87,      5616,        1274,         45,     101475,        49828,         248,     6627,       3629,        39
   452,         50655,           50212,             69,      5889,        1241,         35,     101926,        50212,         201,     6625,       3637,        32
   453,         51001,           50557,             69,      5701,        1248,         34,     102378,        50557,         202,     6636,       3634,        47
   454,         51317,           50872,             84,      5747,        1270,         36,     102831,        50872,         212,     6659,       3643,        34
   455,         51739,           51293,             72,      6492,        1248,         35,     103285,        51293,         209,     6684,       3662,        35
   456,         51965,           51518,             73,      6546,        1249,         37,     103740,        51518,         207,     6691,       3661,        33
   457,         52020,           51572,             71,      6195,        1270,         35,     104196,        51572,         206,     6704,       3671,        33
   458,         52087,           51638,             71,      6285,        1257,         36,     104653,        51638,         213,     6737,       3691,        36
   459,         52486,           52036,             86,      5901,        1310,         53,     105111,        52036,         280,     6742,       3689,        55
   460,         52649,           52198,             96,      5836,        1317,         49,     105570,        52198,         275,     6758,       3707,        44
   461,         52911,           52459,             95,      5823,        1274,         46,     106030,        52459,         269,     6778,       3708,        41
   462,         53015,           52562,             96,      6090,        1264,         46,     106491,        52562,         279,     6788,       3707,        44
   463,         53244,           52790,            104,      6340,        1256,         48,     106953,        52790,         284,     6787,       3709,        45
   464,         53657,           53202,            134,      6083,        1309,         37,     107416,        53202,         211,     6820,       3715,        33
   465,         54012,           53556,             73,      6006,        1286,         49,     107880,        53556,         231,     6848,       3739,        34
   466,         54458,           54001,             99,      6833,        1291,         63,     108345,        54001,         290,     6864,       3754,        47
   467,         54492,           54034,            100,      6284,        1297,         48,     108811,        54034,         292,     6882,       3751,        45
   468,         54673,           54214,             94,      6043,        1293,         46,     109278,        54214,         281,     6908,       3769,        35
   469,         54865,           54405,             72,      5579,        1349,         35,     109746,        54405,         240,     6904,       3774,        33
   470,         55005,           54544,             80,      5687,        1335,         36,     110215,        54544,         244,     6932,       3781,        34
   471,         55330,           54868,             72,      5768,        1328,         35,     110685,        54868,         212,     6945,       3797,        34
   472,         55427,           54964,             85,      6006,        1335,         51,     111156,        54964,         214,     6951,       3793,        33
   473,         55778,           55314,             73,      6155,        1318,         35,     111628,        55314,         253,     6973,       3815,        43
